Member ID,Transaction Date,Transaction Number,Amount,Category,Sub-Category,Item,Description
34,02/24/2015,1189.0,40.0,Special Events Income,,The Great Escape,
35,11/03/2013,1121.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
118,04/17/2015,1274.0,100.0,Direct Public Support,,Corporate Contributions,Corporate Contributions
38,10/23/2013,1036.0,15.0,Direct Public Support,,Corporate Contributions,GC Entry Fee Pre-Registered Adult
38,02/24/2015,1191.0,40.0,Special Events Income,,The Great Escape,
39,02/24/2015,1220.0,25.0,Special Events Income,,The Great Escape,
40,10/30/2013,1058.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
40,05/21/14,1157.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,Annual Membership - High-Fiver
37,10/21/14,1339.0,250.0,Program Income,Membership Dues,B 50 High-Fiver,Silver Level Sponsor
37,03/26/2015,1269.0,100.0,Program Income,Membership Dues,D 100 Friend,Annual Membership - Friend
36,10/31/2013,1081.0,55.0,Direct Public Support,,"Individ, Business Contributions","Individ, Business Contributions"
41,02/24/2015,1199.0,40.0,Special Events Income,,The Great Escape,
42,02/24/2015,1239.0,20.0,Special Events Income,,The Great Escape,
43,09/15/2013,1018.0,15.0,Special Events Income,,The Great Escape,GC Entry Fee Pre-Registered Adult
44,10/29/14,1254.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,Annual Membership - High-Fiver
45,02/24/2015,1205.0,20.0,Special Events Income,,The Great Escape,
46,10/24/2013,1069.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
46,10/21/14,1349.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
47,10/28/2013,1141.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
49,05/21/14,1154.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
50,02/24/2015,1178.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
51,02/24/2015,1246.0,20.0,Special Events Income,,The Great Escape,
52,10/24/2013,1065.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
52,08/19/14,1316.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,Annual Membership - High-Fiver
53,10/29/2013,1103.0,100.0,Direct Public Support,,"Individ, Business Contributions","Individ, Business Contributions"
75,10/24/2013,1031.0,15.0,Direct Public Support,,"Individ, Business Contributions",GC Entry Fee Pre-Registered Adult
74,02/24/2015,1209.0,40.0,Special Events Income,,The Great Escape,
112,10/26/2013,1061.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,14 Annual Membership - Acquaintance
113,10/28/2013,1075.0,100.0,Program Income,Membership Dues,D 100 Friend,Annual Membership - Friend
54,11/15/2013,1113.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
55,10/22/2013,1032.0,15.0,Program Income,Membership Dues,A 25 Acquaintance,GC Entry Fee Pre-Registered Adult
55,02/24/2015,1243.0,20.0,Special Events Income,,The Great Escape,
139,02/24/2015,1197.0,40.0,Special Events Income,,The Great Escape,
106,10/17/14,1335.0,500.0,Special Events Income,,The Great Escape,Osprey Sponsor
106,04/09/2015,1276.0,1000.0,Special Events Income,,The Great Escape,
56,10/21/14,1340.0,250.0,Special Events Income,,The Great Escape,Silver Level Sponsor
57,02/24/2015,1227.0,155.0,Special Events Income,,The Great Escape,
58,11/17/14,1290.0,75.0,Program Income,Membership Dues,C 75 Frienderton,Annual Membership - Frienderton
107,2013,1087.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
107,10/28/2013,1142.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
59,10/24/2013,1029.0,15.0,Program Income,Membership Dues,A 25 Acquaintance,GC Entry Fee Pre-Registered Adult
60,01/06/2015,1256.0,75.0,Program Income,Membership Dues,C 75 Frienderton,Annual Membership - Frienderton
62,10/25/2013,1096.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,14 Annual Membership - Acquaintance
62,02/23/2015,1169.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
63,03/26/2015,1271.0,1000.0,Program Income,Membership Dues,A 25 Acquaintance,
134,10/03/14,1325.0,250.0,Program Income,Membership Dues,A 25 Acquaintance,Individual Sponsor
135,11/06/2013,1116.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,14 Annual Membership - Acquaintance
136,10/03/14,1326.0,250.0,Program Income,Membership Dues,A 25 Acquaintance,Individual Sponsor
64,02/24/2015,1195.0,40.0,Special Events Income,,The Great Escape,
61,05/12/2015,1311.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
65,09/21/2013,1015.0,15.0,Program Income,Membership Dues,A 25 Acquaintance,GC Entry Fee Pre-Registered Adult
108,11/07/2013,1131.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,14 Annual Membership - High-Fiver
108,09/15/14,1319.0,100.0,Program Income,Membership Dues,D 100 Friend,Annual Membership - Friend
108,10/21/14,1346.0,250.0,Program Income,Membership Dues,D 100 Friend,Silver Level Sponsor
66,10/15/2013,1027.0,15.0,Program Income,Membership Dues,D 100 Friend,GC Entry Fee Pre-Registered Adult
67,08/19/14,1315.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
140,02/24/2015,1192.0,40.0,Special Events Income,,The Great Escape,
69,02/24/2015,1173.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
70,12/03/2013,1126.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
70,10/29/14,1252.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
70,02/24/2015,1176.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
71,10/22/2013,1041.0,15.0,Program Income,Membership Dues,A 25 Acquaintance,GC Entry Fee Pre-Registered Adult
71,10/26/2013,1054.0,20.0,Program Income,Membership Dues,A 25 Acquaintance,GC Entry Fee Day of Race Adult
72,11/12/2013,1114.0,100.0,Program Income,Membership Dues,D 100 Friend,Annual Membership - Friend
72,10/29/14,1253.0,100.0,Program Income,Membership Dues,D 100 Friend,Drawdown
72,03/26/2015,1272.0,500.0,Program Income,Membership Dues,D 100 Friend,
73,11/07/2013,1138.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,14 Annual Membership - Acquaintance
73,10/21/14,1350.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
76,02/24/2015,1250.0,20.0,Special Events Income,,The Great Escape,
88,10/24/2013,1067.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,14 Annual Membership - Acquaintance
88,10/21/14,1347.0,75.0,Program Income,Membership Dues,C 75 Frienderton,Annual Membership - Frienderton
77,11/03/2013,1091.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
80,02/24/2015,1237.0,20.0,Special Events Income,,The Great Escape,
79,10/21/14,1341.0,1000.0,Special Events Income,,The Great Escape,Title Sponsor
81,10/21/14,1345.0,100.0,Program Income,Membership Dues,D 100 Friend,Annual Membership - Friend
83,12/13/2013,1140.0,15.0,Program Income,Membership Dues,D 100 Friend,GC Entry Fee Pre-Registered Adult
84,10/28/2013,1076.0,100.0,Program Income,Membership Dues,D 100 Friend,14 Annual Membership - Friend
84,01/08/2015,1300.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,Annual Membership - High-Fiver
124,10/04/14,1002.0,250.0,Program Income,Membership Dues,B 50 High-Fiver,
124,10/29/14,1255.0,17.79,Special Events Income,,The Great Escape,event brite
85,10/03/14,1329.0,500.0,Special Events Income,,The Great Escape,Osprey Sponsor
86,06/16/2015,1310.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
93,10/28/2013,1085.0,100.0,Program Income,Membership Dues,D 100 Friend,14 Annual Membership - Friend
87,10/23/2013,1047.0,15.0,Program Income,Membership Dues,D 100 Friend,GC Entry Fee Pre-Registered Adult
90,04/17/2015,1283.0,250.0,Program Income,Membership Dues,D 100 Friend,
89,10/26/2013,1095.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,14 Annual Membership - Acquaintance
91,02/19/14,1153.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
92,11/11/2013,1110.0,100.0,Program Income,Membership Dues,D 100 Friend,Annual Membership - Friend
94,10/30/2013,1082.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,Annual Membership - High-Fiver
95,02/24/2015,1249.0,20.0,Special Events Income,,The Great Escape,
96,02/24/2015,1236.0,20.0,Special Events Income,,The Great Escape,
97,02/24/2015,1184.0,40.0,Special Events Income,,The Great Escape,
11,10/24/2013,1056.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,14 Annual Membership - High-Fiver
125,10/21/14,1353.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
98,05/21/14,1155.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
102,10/25/2013,1062.0,100.0,Program Income,Membership Dues,D 100 Friend,14 Annual Membership - Friend
102,10/21/14,1296.0,100.0,Program Income,Membership Dues,D 100 Friend,Annual Membership - Friend
48,10/22/2013,1037.0,15.0,Program Income,Membership Dues,D 100 Friend,GC Entry Fee Pre-Registered Adult
48,10/26/2013,1053.0,20.0,Program Income,Membership Dues,D 100 Friend,GC Entry Fee Day of Race Adult
123,05/02/14,1004.0,0.0,Direct Public Grants,,Foundations and Trusts,Trap the Trash Project
10,10/06/14,1332.0,1000.0,Direct Public Grants,,Foundations and Trusts,River Otter Sponsor
130,11/05/2013,1120.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,Annual Membership - High-Fiver
132,01/08/2015,1304.0,75.0,Program Income,Membership Dues,C 75 Frienderton,Annual Membership - Frienderton
82,11/17/14,1288.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,Annual Membership - High-Fiver
103,10/06/14,1331.0,250.0,Program Income,Membership Dues,B 50 High-Fiver,Individual Sponsor
104,02/24/2015,1174.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
131,12/31/2013,1139.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,14 Annual Membership - High-Fiver
131,01/08/2015,1298.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,Annual Membership - High-Fiver
19,04/09/2015,1280.0,250.0,Program Income,Membership Dues,B 50 High-Fiver,
105,11/11/2013,1111.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,14 Annual Membership - Acquaintance
133,08/28/2013,1005.0,1000.0,Program Income,Membership Dues,A 25 Acquaintance,Title Sponsor
109,09/10/2013,1014.0,15.0,Program Income,Membership Dues,A 25 Acquaintance,GC Entry Fee Pre-Registered Adult
109,02/24/2015,1241.0,20.0,Special Events Income,,The Great Escape,
110,01/08/2015,1301.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
111,05/21/14,1156.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
114,04/17/2015,1273.0,254.0,Direct Public Support,,Corporate Contributions,Corporate Contributions
1,02/24/2015,1229.0,400.0,Special Events Income,,The Great Escape,
2,11/20/2013,1104.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
3,10/30/2013,1073.0,75.0,Program Income,Membership Dues,C 75 Frienderton,Annual Membership - Frienderton
3,11/17/14,1292.0,75.0,Program Income,Membership Dues,C 75 Frienderton,Annual Membership - Frienderton
115,10/03/14,1324.0,250.0,Program Income,Membership Dues,C 75 Frienderton,Individual Sponsor
116,10/22/2013,1033.0,15.0,Program Income,Membership Dues,C 75 Frienderton,GC Entry Fee Pre-Registered Adult
117,10/24/2013,1097.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,Annual Membership - High-Fiver
